                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 2.4029,                 4.3453,                0.57396,                0.05397,                0.01075,                0.01875,                0.00388,                 2.0232,                 5.3837,                0.46888,              0.0018733,              0.0018733,              0.0018733
                     66,                 2.4715,                 4.6709,                 0.5831,                0.05397,                0.01075,                0.01875,                0.00388,                 2.0232,                 5.3837,                0.46888,              0.0018713,              0.0018713,              0.0018713
                     67,                 2.4095,                 4.2915,                0.53551,                0.10025,                0.01694,                0.00983,                0.00235,                 2.1921,                 5.2685,                0.47464,              0.0018693,              0.0018693,              0.0018693
                     68,                 2.4975,                 4.3891,                 0.6439,                0.10025,                0.01694,                0.00983,                0.00235,                 2.1921,                 5.2685,                0.47464,              0.0018673,              0.0018673,              0.0018673
                     69,                 2.8783,                 4.4773,                0.62479,                0.24778,                0.05376,                0.02029,                0.00321,                 2.4055,                  5.227,                0.49952,              0.0018654,              0.0018654,              0.0018654
                     70,                 3.2946,                 4.2171,                0.71505,                0.24778,                0.05376,                0.02029,                0.00321,                 2.4055,                  5.227,                0.49952,              0.0018634,              0.0018634,              0.0018634
                     71,                 2.9642,                 4.3689,                0.65712,                0.24778,                0.05376,                0.02029,                0.00321,                 2.4055,                  5.227,                0.49952,              0.0018614,              0.0018614,              0.0018614
                     72,                  2.427,                 4.0841,                0.53764,                0.22703,                0.04301,                0.01388,                0.00287,                 2.5431,                 5.4385,                0.51858,              0.0018594,              0.0018594,              0.0018594
                     73,                 2.4014,                 4.1461,                 0.5558,                0.22703,                0.04301,                0.01388,                0.00287,                 2.5431,                 5.4385,                0.51858,              0.0018574,              0.0018574,              0.0018574
                     74,                  2.287,                 3.9984,                0.50685,                0.22703,                0.04301,                0.01388,                0.00287,                 2.5431,                 5.4385,                0.51858,              0.0018555,              0.0018555,              0.0018555
                     75,                 2.5088,                 4.1675,                0.52179,                0.07358,                0.03226,                 0.0062,                0.00135,                  2.537,                 5.3548,                0.51491,              0.0018535,              0.0018535,              0.0018535
                     76,                 2.7523,                 4.2569,                0.60537,                0.07358,                0.03226,                 0.0062,                0.00135,                  2.537,                 5.3548,                0.51491,              0.0018515,              0.0018515,              0.0018515
                     77,                 2.8323,                 4.2285,                0.63572,                0.08702,                0.02151,                0.00369,                0.00078,                 2.4695,                 5.2499,                0.50943,              0.0018495,              0.0018495,              0.0018495
                     78,                 2.3628,                 4.1541,                0.52677,                0.08702,                0.02151,                0.00369,                0.00078,                 2.4695,                 5.2499,                0.50943,              0.0018475,              0.0018475,              0.0018475
                     79,                 2.2293,                 4.0787,                0.50675,                0.08702,                0.02151,                0.00369,                0.00078,                 2.4695,                 5.2499,                0.50943,              0.0018456,              0.0018456,              0.0018456
                     80,                 2.5398,                 4.1855,                 0.5292,                0.15144,                0.03226,                0.00739,                0.00091,                 2.4583,                 5.3088,                0.50236,              0.0018436,              0.0018436,              0.0018436
                     81,                 2.2623,                 4.1704,                0.51624,                0.15144,                0.03226,                0.00739,                0.00091,                 2.4583,                 5.3088,                0.50236,              0.0018416,              0.0018416,              0.0018416
                     82,                 2.1759,                 4.1098,                0.49528,                0.18414,                0.04301,                0.01385,                0.00171,                 2.2606,                 5.1943,                0.47264,              0.0018396,              0.0018396,              0.0018396
                     83,                 2.8041,                 4.1803,                0.63675,                0.18414,                0.04301,                0.01385,                0.00171,                 2.2606,                 5.1943,                0.47264,              0.0018376,              0.0018376,              0.0018376
                     84,                 2.2819,                 4.0564,                0.53446,                0.18414,                0.04301,                0.01385,                0.00171,                 2.2606,                 5.1943,                0.47264,              0.0018357,              0.0018357,              0.0018357
                     85,                 2.4568,                 3.8729,                0.50522,                0.29914,                0.05376,                0.02289,                0.00336,                 2.2576,                 5.0305,                0.48379,              0.0018337,              0.0018337,              0.0018337
                     86,                 2.0307,                  3.795,                0.50232,                0.29914,                0.05376,                0.02289,                0.00336,                 2.2576,                 5.0305,                0.48379,              0.0018317,              0.0018317,              0.0018317
                     87,                 2.4937,                 3.8166,                0.52261,                0.22198,                0.04301,                0.01563,                0.00297,                 2.3221,                 4.7774,                0.52905,              0.0018297,              0.0018297,              0.0018297
                     88,                  2.295,                 3.7972,                0.49996,                0.22198,                0.04301,                0.01563,                0.00297,                 2.3221,                 4.7774,                0.52905,              0.0018277,              0.0018277,              0.0018277
                     89,                  2.184,                   3.66,                0.50017,                0.22198,                0.04301,                0.01563,                0.00297,                 2.3221,                 4.7774,                0.52905,              0.0018258,              0.0018258,              0.0018258
                     90,                 2.2378,                  3.596,                0.51733,                0.18855,                0.04301,                0.01438,                 0.0029,                 2.4288,                 4.8477,                 0.5496,              0.0018238,              0.0018238,              0.0018238
                     91,                 3.1245,                 4.1927,                0.70492,                0.18855,                0.04301,                0.01438,                 0.0029,                 2.4288,                 4.8477,                 0.5496,              0.0018218,              0.0018218,              0.0018218
                     92,                  2.604,                 4.0788,                0.56374,                0.08912,                0.03226,                0.01039,                0.00267,                  2.561,                 4.9665,                0.56346,              0.0018198,              0.0018198,              0.0018198
                     93,                 2.6017,                 3.8127,                 0.6697,                0.08912,                0.03226,                0.01039,                0.00267,                  2.561,                 4.9665,                0.56346,              0.0018178,              0.0018178,              0.0018178
                     94,                 3.0429,                 3.9901,                0.66386,                0.08912,                0.03226,                0.01039,                0.00267,                  2.561,                 4.9665,                0.56346,              0.0018159,              0.0018159,              0.0018159
                     95,                 2.6257,                 3.7345,                 0.6303,                 0.0448,                0.02151,                0.00985,                0.00332,                 2.5246,                 4.8459,                0.56341,              0.0018139,              0.0018139,              0.0018139
                     96,                 2.3007,                 3.6869,                0.50264,                 0.0448,                0.02151,                0.00985,                0.00332,                 2.5246,                 4.8459,                0.56341,              0.0018119,              0.0018119,              0.0018119
                     97,                  2.928,                 3.8434,                0.65993,                 0.0448,                0.02151,                0.00985,                0.00332,                 2.5246,                 4.8459,                0.56341,              0.0018099,              0.0018099,              0.0018099
                     98,                  2.831,                  3.843,                0.65386,                0.07627,                0.03226,                0.01376,                0.00471,                 2.4088,                 4.7517,                0.56099,              0.0018079,              0.0018079,              0.0018079
                     99,                  2.207,                 3.5464,                0.48969,                0.07627,                0.03226,                0.01376,                0.00471,                 2.4088,                 4.7517,                0.56099,               0.001806,               0.001806,               0.001806
                    100,                 2.4603,                 3.7194,                0.55493,                0.13167,                0.05376,                0.01761,                0.00534,                 2.4037,                  4.638,                0.56566,               0.001804,               0.001804,               0.001804
                    101,                 2.8352,                 3.8751,                0.72363,                0.13167,                0.05376,                0.01761,                0.00534,                 2.4037,                  4.638,                0.56566,               0.001802,               0.001802,               0.001802
                    102,                 2.4202,                 3.6454,                0.62679,                0.13167,                0.05376,                0.01761,                0.00534,                 2.4037,                  4.638,                0.56566,                 0.0018,                 0.0018,                 0.0018
                    103,                 2.2427,                 3.4186,                0.51406,                0.14936,                0.05376,                0.02036,                0.00548,                  2.375,                 4.5945,                0.56359,               0.001798,               0.001798,               0.001798
                    104,                 3.3041,                 3.8109,                0.77993,                0.14936,                0.05376,                0.02036,                0.00548,                  2.375,                 4.5945,                0.56359,              0.0017961,              0.0017961,              0.0017961
                    105,                 1.9933,                 3.4031,                0.45314,                0.11295,                0.04301,                0.01897,                0.00493,                 2.3124,                 4.4294,                0.55705,              0.0017941,              0.0017941,              0.0017941
                    106,                 2.5771,                 3.4985,                0.54579,                0.11295,                0.04301,                0.01897,                0.00493,                 2.3124,                 4.4294,                0.55705,              0.0017921,              0.0017921,              0.0017921
                    107,                 2.5309,                 3.3232,                0.64659,                0.11295,                0.04301,                0.01897,                0.00493,                 2.3124,                 4.4294,                0.55705,              0.0017901,              0.0017901,              0.0017901
                    108,                 2.9652,                 3.5989,                 0.6696,                0.14948,                0.06452,                0.02017,                0.00376,                 2.3773,                 4.3746,                0.56138,              0.0017881,              0.0017881,              0.0017881
                    109,                 2.4462,                 3.3236,                0.59279,                0.14948,                0.06452,                0.02017,                0.00376,                 2.3773,                 4.3746,                0.56138,              0.0017862,              0.0017862,              0.0017862
                    110,                 2.5093,                  3.218,                0.61503,                0.14664,                0.08602,                 0.0169,                0.00366,                 2.4409,                 4.2529,                0.56336,              0.0017842,              0.0017842,              0.0017842
                    111,                 2.8009,                 3.3778,                0.61732,                0.14664,                0.08602,                 0.0169,                0.00366,                 2.4409,                 4.2529,                0.56336,              0.0017822,              0.0017822,              0.0017822
                    112,                 2.3253,                 3.2661,                 0.5638,                0.14664,                0.08602,                 0.0169,                0.00366,                 2.4409,                 4.2529,                0.56336,              0.0017802,              0.0017802,              0.0017802
                    113,                 2.4156,                 3.4052,                0.60502,                0.12035,                0.08602,                0.01533,                 0.0048,                 2.3974,                  4.146,                0.55532,              0.0017782,              0.0017782,              0.0017782
                    114,                 2.9118,                 3.0658,                0.66131,                0.12035,                0.08602,                0.01533,                 0.0048,                 2.3974,                  4.146,                0.55532,              0.0017763,              0.0017763,              0.0017763
                    115,                 2.6848,                 3.2521,                 0.6807,                0.12035,                0.08602,                0.01533,                 0.0048,                 2.3974,                  4.146,                0.55532,              0.0017743,              0.0017743,              0.0017743
                    116,                 3.0217,                 3.4616,                0.74155,                0.10773,                0.07527,                0.01148,                 0.0043,                 2.3849,                  4.053,                 0.5566,              0.0017723,              0.0017723,              0.0017723
                    117,                 2.4341,                 2.9474,                0.59391,                0.10773,                0.07527,                0.01148,                 0.0043,                 2.3849,                  4.053,                 0.5566,              0.0017703,              0.0017703,              0.0017703
